Particulars,FY2021,FY2022,FY2023,FY2024,FY2025
"Property, Plant and Equipment",451066,500454,570503,606084,683102
Other Intangible Assets,79980,114335,63681,89060,144639
Goodwill,10212,13009,15270,14989,24530
Capital Work-in-Progress,71171,68052,117259,152382,169710
Spectrum Under Development,N/A,N/A,122357,129602,54176
Other Intangible Assets Under Development,54782,N/A,54136,56871,38472
Intangible Assets Under Development (Old),N/A,104454,N/A,N/A,N/A
NON-CURRENT ASSETS - Investments,212382,286146,117087,119502,123672
Loans,2484,1588,1525,899,742
NON-CURRENT ASSETS - Other Financial Assets,N/A,2377,2523,2622,6088
Deferred Tax Assets (Net),1147,1043,1549,938,408
Other Non-Current Assets,64977,61188,40894,43085,58190
TOTAL NON-CURRENT ASSETS,948201,1152646,1182135,1285886,1450851
Inventories,81672,107778,140008,152770,146062
CURRENT ASSETS - Investments,152446,108118,118473,106170,118709
Trade Receivables,19014,23640,28448,31628,42121
Cash and Cash Equivalents,17397,36178,68664,97225,106502
Loans (Current),65,130,176,2517,5182
CURRENT ASSETS - Other Financial Assets,61124,23896,19696,23965,23546
Other Current Assets,41293,47279,49831,55825,57148
TOTAL CURRENT ASSETS,373011,347019,425296,470100,499270
TOTAL ASSETS,1321212,1499665,1607431,1755986,1950121
Equity Share Capital,6445,6765,6766,6766,13532
Other Equity,693727,772720,709106,786715,829668
Non-Controlling Interest,99260,109499,113009,132307,166426
CONSOLIDATED - TOTAL EQUITY ,799432,888984,828881,925788,1009626
NON-CURRENT LIABILITIES - Borrowings,163683,187699,183176,222712,236899
NON-CURRENT LIABILITIES - Lease Liabilities,N/A,13007,16230,17415,17142
Deferred Payment Liabilities,18837,37184,112847,108272,104410
NON-CURRENT LIABILITIES - Other Financial Liabilities,21564,12024,7704,5667,10909
NON-CURRENT LIABILITIES - Provisions,2625,1853,1607,2044,28304
Deferred Tax Liabilities (Net),37001,49644,60324,72241,83453
Other Non-Current Liabilities,502,608,919,4480,5641
TOTAL NON-CURRENT LIABILITIES,244212,302019,382807,432831,486758
CURRENT LIABILITIES - Borrowings,60081,78606,130790,101910,110631
CURRENT LIABILITIES - Lease Liabilities,N/A,2662,4196,4105,4903
Trade Payables,108897,159330,147172,178377,186789
CURRENT LIABILITIES - Other Financial Liabilities,73052,44544,68501,55602,57143
Other Current Liabilities,33034,21584,42906,55198,90124
Provisions,2504,1936,2178,2175,4147
TOTAL CURRENT LIABILITIES,277568,308662,395743,397367,453737
TOTAL LIABILITIES,521780,610681,778550,830198,940495
TOTAL EQUITY AND LIABILITIES,1321212,1499665,1607431,1755986,1950121
Total Debt,223764,266305,313966,324622,347530
Net Debt,206367,230127,245302,227397,241028
Working Capital,95443,38357,29553,72733,45533
Total Equity,700172,779485,715872,793481,843200
