Particulars (₹ in Crore),"FY2021
(2020-21)","FY2022
(2021-22)","FY2023
(2022-23)","FY2024
(2023-24)","FY2025
(2024-25)"
Net Profit Before Tax (Per Statement of P&L),55461,84142,94801,104727,106017
Share of (Profit)/Loss of Associates & JVs,-516,-280,-24,-387,0
Premium on Buyback of Debentures,194,380,33,0,0
(Profit)/Loss on Sale/Discard of PPE & Intangibles (Net),47,40,-60,178,135
Depreciation / Amortisation and Depletion Expense,26572,29797,40319,50832,53136
Effect of Exchange Rate Change,-1645,1821,-3680,-1330,-2182
Net Gain on Financial Assets,-4964,-1352,1214,-1921,-1557
Exceptional Item (Net of Tax),-5642,-2836,0,0,0
Dividend Income,-39,-41,-38,-89,-504
CFO - Interest Income,-10366,-12529,-11240,-10745,-12410
Finance Costs,21027,14584,19571,23118,24269
Sub-total (Adjustments),24668,29584,46162,59656,60887
Operating Profit Before Working Capital Changes,80129,113726,140963,164383,166904
Trade and Other Receivables,186,-14180,13194,-15674,-17837
Inventories,-7769,-24983,-32228,-12756,3134
Trade and Other Payables,-43148,39888,-600,34796,38427
Sub-total (Working Capital),-49958,725,-19634,6366,23724
Cash Generated from Operations,29398,114451,121329,170749,190628
Taxes Paid (Net),-3213,-3797,-6297,-11961,-11925
NET CASH FLOW FROM OPERATING ACTIVITIES (A),26185,110654,115032,158788,178703
"Expenditure for PPE, Spectrum and Intangible Assets",-105837,-100145,-140988,-152883,-139967
Proceeds from Disposal of PPE and Intangible Assets,2319,3137,9186,15307,2343
Purchase of Investments / Other Investments,-689866,-667878,-471822,-514380,-684340
Proceeds from Sale of Financial Assets,642551,668137,501266,531355,672558
Payment of Deferred Payment Liabilities,-2,-19306,0,-4423,-4574
Upfront Fibre Payment,0,0,0,0,0
Net Cash Flow for Other Financial Assets,773,0,0,0,0
CFI - Interest Income,8400,5933,11103,10648,15833
Dividend Income from Associates,26,18,17,59,49
Dividend Income from Others,0,1,3,16,563
NET CASH FLOW USED IN INVESTING ACTIVITIES (B),-141634,-110103,-91235,-114301,-137535
Proceeds from Issue of Equity Share Capital,5,5,0,0,0
Proceeds from Issue of Share Capital to Non-Controlling Interest (Net),200382,450,479,20915,0
Net Proceeds from Rights Issue,13210,39762,40,7,22
Payments to Non-Controlling Interest (Capital Reduction),0,0,0,-1085,0
Share Application Money,0,0,0,0,0
Payment of Lease Liabilities,-1022,-2132,-1406,-2483,-2956
Proceeds from Borrowings – Non-current (incl. Current Maturities),33211,59343,35936,69610,26378
Repayment of Borrowings – Non-current (incl. Current Maturities),-87240,-40647,-29059,-35055,-31755
Borrowings – Current (Net),-29681,-8846,31198,-25293,24624
Deferred Payment Liabilities,-2,0,0,0,0
Movement in Deposits,-4700,0,0,0,0
Payment of Dividend – Equity Holders,-3921,-4297,-5083,-6089,-6766
Payment of Dividend – Non-Controlling Interest,0,0,0,0,-414
Interest Paid,-18340,-26349,-21650,-37173,-41024
NET CASH FLOW FROM/(USED IN) FINANCING ACTIVITIES (C),101902,17289,10455,-16646,-31891
Net Increase/(Decrease) in Cash and Cash Equivalents,-13547,17840,34252,27841,9277
Opening Balance of Cash and Cash Equivalents,30920,17397,36178,68664,97225
Add: Upon Addition of Subsidiaries,24,0,4278,720,0
Less: On Demerger,0,0,6044,0,0
Closing Balance of Cash and Cash Equivalents,17397,36178,68664,97225,106502
Net Increase in Cash ,-13547,17840,34252,27841,9277
