Particulars,FY2021,FY2022,FY2023,FY2024,FY2025
Value of Sales,467669,696972,856770,883646,960355
Income from Services,71569,95784,118094,116476,110819
Revenue,539238,792756,974864,1000122,1071174
Less: GST Recovered,52912,71122,83553,85650,91038
Revenue from Operations,486326,721634,891311,914472,980136
Other Income,16327,14947,11734,16057,17978
Total Income,502653,736581,903045,930529,998114
Cost of Materials Consumed,199915,360784,450241,400345,422127
Purchase of Stock-in-Trade,101850,135585,168505,189881,222686
"Changes in Inventories (FG, WIP and Stock-in-Trade)",-9064,-21457,-30263,-4883,-15124
Excise Duty,19402,21672,13476,13408,15443
Employee Benefits Expense,14817,18775,24872,25679,28559
Finance Costs,21189,14584,19571,23118,24269
Depreciation / Amortisation and Depletion Expense,26572,29797,40303,50832,53136
Other Expenses,78669,95815,122318,127809,141001
Total Expenses,453350,655555,809023,826189,892097
Profit Before Associates / JVs Share and Tax,49303,81026,94022,104340,106017
Share of Profit/(Loss) of Associates and JVs,516,280,24,387,522
Profit Before Exceptional Item and Tax,49819,81306,94046,104727,0
Exceptional Item (Net of Tax),5642,2836,0,0,0
Profit Before Tax,55461,84142,94046,104727,106017
Current Tax,2205,3161,8398,13590,12758
Deferred Tax,-483,13136,11978,12117,12472
Total Tax Expenses,1722,16297,20376,25707,25230
Profit from Continuing Operations,53739,67845,73670,79020,0
Profit from Discontinued Operations (Net),0,0,418,0,0
Profit After Tax (PAT),53739,67845,74088,79020,80787
Share of Profit/(Loss) of Associates & JVs,0,0,0,0,522
Profit for the Year,53739,67845,74088,79020,81309
Items not reclassified to P&L,37517,27533,-39,3852,-2904
Tax on items not reclassified,-4605,-3215,-13,-433,438
Items reclassified to P&L,1264,-2584,-9503,244,-214
Tax on items reclassified,-378,526,1829,6,244
Total OCI (Net of Tax),33798,22260,-18812,3669,-2436
Total Comprehensive Income for the Year,87537,90105,55276,82689,78873
a) Owners of the Company,49128,60705,66702,69621,69648
b) Non-Controlling Interest,4611,7140,7386,9399,11661
Basic EPS – Continuing Operations (₹),76.37,92,97.97,102.9,51.47
Diluted EPS – Continuing Operations (₹),75.21,90.85,97.97,102.9,51.47
Basic EPS – All Operations (₹),76.37,92,98.59,102.9,51.47
Diluted EPS – All Operations (₹),75.21,90.85,98.59,102.9,51.47
GROSS PROFIT,286411,360850,441070,514127,558009
EBIT,76650,98726,113617,127845,130286
EBITDA,103222,128523,153920,178677,183422
